title,url
广东顺控发展股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/202004/P020200424668626661958.doc
德才装饰股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/202004/P020200430829483123663.doc
江苏同力日升机械股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/202004/P020200424669099167633.doc
河北中瓷电子科技股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/202004/P020200424668296979477.doc
税友软件集团股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/202004/P020200424669308842290.doc
天阳宏业科技股份有限公司创业板首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/202005/P020200508634477321611.doc
合肥立方制药股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/202004/P020200430833424536125.doc
苏州林华医疗器械股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/202004/P020200430828455789138.doc
成都大宏立机器股份有限公司创业板首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/202006/P020200605644538818373.doc
龙岩高岭土股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/202006/P020200612564370752926.doc
陕西红星美羚乳业股份有限公司创业板首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/202006/P020200605649121280784.doc
湖北祥云（集团）化工股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/202004/P020200417650171534856.doc
广州九恒条码股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/202004/P020200417651024029762.doc
广东天禾农资股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/202004/P020200417651339491140.doc
北京正和恒基滨水生态环境治理股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/202004/P020200417663647382423.doc
浙江泰坦股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/202004/P020200424666817611252.doc
上海灿星文化传媒股份有限公司创业板首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/202004/P020200424667195102199.doc
中际联合（北京）科技股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/202004/P020200424667579958725.doc
上海永茂泰汽车科技股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/202004/P020200410670405755531.doc
宁波德业科技股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/202004/P020200410670805286013.doc
浙江松原汽车安全系统股份有限公司创业板首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/202004/P020200403568062770852.doc
北京竞业达数码科技股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201912/P020191227636301167878.doc
协创数据技术股份有限公司创业板首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201911/P020191108708301988689.doc
广东金源照明科技股份有限公司创业板首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/202004/P020200417651718550125.doc
法狮龙家居建材股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201912/P020191227636632415049.doc
江苏博迁新材料股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201912/P020191227637235386520.doc
山东东岳有机硅材料股份有限公司创业板首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201910/P020191025638811091218.doc
深圳市晶台股份有限公司创业板首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201911/P020191108703586517703.doc
欣贺股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201911/P020191108704539178890.doc
陕西北元化工集团股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201912/P020191213566797536042.doc
浙江华达新型材料股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201911/P020191129707512378334.docx
浙江拱东医疗器械股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201911/P020191129707219876596.doc
浙江天正电气股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201911/P020191129708310499451.doc
伟时电子股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201911/P020191129709208774114.docx
中饮巴比食品股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201911/P020191129708573932890.doc
仲景食品股份有限公司创业板首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201912/P020191213564287900227.doc
深圳贝仕达克技术股份有限公司创业板首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201909/P020190920607755935808.doc
昆山佰奥智能装备股份有限公司创业板首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201909/P020190920606947187492.doc
重庆百亚卫生用品股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201909/P020190920608471085490.doc
北京全时天地在线网络信息股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201909/P020190927663745608112.doc
北京诺禾致源科技股份有限公司创业板首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201909/P020190927664533261901.doc
浙江东亚药业股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201911/P020191129706945025595.doc
东莞市奥海科技股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201909/P020190927664162010452.doc
厦门力鼎光电股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201909/P020190920608074836370.doc
江西宏柏新材料股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201909/P020190927665743264320.doc
甘源食品股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201909/P020190927669665134318.doc
西藏运高新能源股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201909/P020190927665337941431.doc
杭州聚合顺新材料股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201909/P020190927666127479663.doc
青岛威奥轨道股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201909/P020190927669411698670.doc
圣元环保股份有限公司创业板首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201909/P020190927667382941576.doc
四会富仕电子科技股份有限公司创业板首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201909/P020190927667802326478.doc
三人行传媒集团股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201909/P020190927668060766843.doc
北京北摩高科摩擦材料股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201910/P020191011657641954647.doc
嘉兴斯达半导体股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201910/P020191011661341496755.doc
北京新时空科技股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201910/P020191011658040707461.doc
江苏共创人造草坪股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201910/P020191011661953201599.doc
金现代信息产业股份有限公司创业板首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201910/P020191011666925863626.doc
北京竞业达数码科技股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201912/P020191213564768675427.doc
长春英利汽车工业股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201912/P020191213565512715354.doc
衢州五洲特种纸业股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201912/P020191213565166790555.doc
浙江海象新材料股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201912/P020191213565961924361.doc
上海健麾信息技术股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201912/P020191213566338634641.doc
重庆四方新材股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201912/P020191213567138771905.doc
浙江一鸣食品股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201912/P020191213568926693223.doc
王力安防科技股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201912/P020191213567570477220.doc
浙江帅丰电器股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201912/P020191213569686365371.doc
浙江李子园食品股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201912/P020191213569319496037.doc
爱美客技术发展股份有限公司创业板首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201912/P020191220644686374515.doc
长春吉大正元信息技术股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201912/P020191220645016995058.doc
浙江锦盛新材料股份有限公司创业板首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201911/P020191108705243070908.doc
青岛森麒麟轮胎股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201911/P020191108704887140483.doc
广东东箭汽车科技股份有限公司创业板首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201911/P020191108706505428763.doc
北京点众科技股份有限公司创业板首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201911/P020191108706005573358.doc
广东世宇科技股份有限公司创业板首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201911/P020191108707349329680.doc
迈赫机器人自动化股份有限公司创业板首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201911/P020191115695575941568.doc
江苏传智播客教育科技股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201911/P020191115695303597029.doc
盛德鑫泰新材料股份有限公司创业板首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201911/P020191115696167509417.doc
深圳市兆威机电股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201911/P020191115695870001114.doc
武汉回盛生物科技股份有限公司创业板首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201911/P020191115696767340414.doc
苏州可川电子科技股份有限公司创业板首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201911/P020191115696453916789.doc
周六福珠宝股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201911/P020191115697351254957.doc
瑞鹄汽车模具股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201911/P020191108704214175009.doc
西上海汽车服务股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201911/P020191115697100169677.doc
北京中岩大地科技股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201911/P020191122646645358835.doc
广东粤海饲料集团股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201911/P020191122646945046755.doc
无锡派克新材料科技股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201911/P020191122648171148766.doc
益海嘉里金龙鱼粮油食品股份有限公司创业板首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201911/P020191122647569736556.doc
晶科电力科技股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201911/P020191122647243791991.doc
重庆顺博铝合金股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201911/P020191108705621357994.doc
厦门建霖健康家居股份有限公司首次公开发行股票申请文件反馈意见,http://www.csrc.gov.cn/pub/newsite/fxjgb/scgkfxfkyj/201911/P020191122647936765860.doc
